epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0265,2.39377,2.03248,4.19536,0.64741,1,0.795,0.27087,2.29167,5.21454,6.07675,6e-05,6e-05,6e-05
2,5.62355,2.54229,2.4388,3.56501,0.60836,0.77808,0.77962,0.33615,2.13702,4.207,5.26264,0.000137228,0.000137228,0.000137228
3,8.15352,2.01677,2.91307,2.82038,1,0.75519,0.95382,0.45427,1.7704,4.41099,4.20806,0.000211288,0.000211288,0.000211288
4,10.6953,2.07573,2.61592,2.69621,0.36789,0.5,0.56074,0.08009,2.88413,6.89545,4.23273,0.00028218,0.00028218,0.00028218
5,13.2285,1.99511,2.32152,2.38149,0.09473,0.2,0.03508,0.00802,3.54278,7.01302,4.40866,0.000349904,0.000349904,0.000349904
6,15.6507,1.93261,2.62517,2.1494,0.37494,0.7,0.46398,0.10554,2.0686,4.62979,3.37068,0.00041446,0.00041446,0.00041446
7,18.115,2.02793,2.83624,2.42677,0.37494,0.7,0.46398,0.10554,2.0686,4.62979,3.37068,0.000475848,0.000475848,0.000475848
8,20.6585,1.21027,1.95276,2.0168,0.28345,0.7,0.36689,0.17735,1.72748,4.2227,3.44187,0.000534068,0.000534068,0.000534068
9,23.3556,1.42421,2.93945,2.17368,0.72962,0.8,0.81634,0.43531,1.71,3.85079,3.39456,0.00058912,0.00058912,0.00058912
10,25.8778,1.47429,2.03478,2.02946,0.72962,0.8,0.81634,0.43531,1.71,3.85079,3.39456,0.000641004,0.000641004,0.000641004
11,28.4539,1.33375,2.01448,1.92786,0.64023,1,0.8825,0.45619,1.55964,3.04348,3.14401,0.00068972,0.00068972,0.00068972
12,30.9669,1.20247,1.86453,1.74189,0.64023,1,0.8825,0.45619,1.55964,3.04348,3.14401,0.000735268,0.000735268,0.000735268
13,33.6397,1.23666,1.88814,1.71415,0.89692,0.87227,0.9475,0.52652,1.39887,2.77559,3.19323,0.000777648,0.000777648,0.000777648
14,36.2322,1.09272,1.77017,1.61767,0.89692,0.87227,0.9475,0.52652,1.39887,2.77559,3.19323,0.00081686,0.00081686,0.00081686
15,38.8712,1.32672,2.47544,1.96634,0.99527,0.9,0.95056,0.54126,1.44503,3.19383,3.34869,0.000852904,0.000852904,0.000852904
16,41.4941,1.47923,1.96575,1.87843,0.99527,0.9,0.95056,0.54126,1.44503,3.19383,3.34869,0.00088578,0.00088578,0.00088578
17,44.0938,1.21456,1.87707,1.80398,0.99527,0.9,0.95056,0.54126,1.44503,3.19383,3.34869,0.000915488,0.000915488,0.000915488
18,46.7153,1.44239,1.88999,2.04439,0.969,1,0.995,0.57865,1.33676,3.36131,3.15131,0.000942028,0.000942028,0.000942028
19,49.347,1.2147,1.83822,1.70928,0.969,1,0.995,0.57865,1.33676,3.36131,3.15131,0.0009654,0.0009654,0.0009654
20,51.9747,1.25118,1.67836,1.86689,0.969,1,0.995,0.57865,1.33676,3.36131,3.15131,0.000985604,0.000985604,0.000985604
21,54.648,1.21596,1.57887,1.63936,0.969,1,0.995,0.57865,1.33676,3.36131,3.15131,0.00100264,0.00100264,0.00100264
22,57.4038,1.36957,1.80997,2.00924,1,0.99714,0.995,0.52991,1.26897,2.87014,2.86599,0.00101651,0.00101651,0.00101651
23,60.2105,1.21515,1.78432,1.82484,1,0.99714,0.995,0.52991,1.26897,2.87014,2.86599,0.00102721,0.00102721,0.00102721
24,62.8313,1.16974,1.7512,1.84502,1,0.99714,0.995,0.52991,1.26897,2.87014,2.86599,0.00103474,0.00103474,0.00103474
25,65.4676,1.23904,1.68463,1.7254,1,0.99714,0.995,0.52991,1.26897,2.87014,2.86599,0.0010391,0.0010391,0.0010391
26,68.0997,1.19428,2.53472,1.74331,0.99421,1,0.995,0.60859,1.35848,2.52155,2.55973,0.00101,0.00101,0.00101
27,70.7288,1.13885,1.76524,1.67006,0.99421,1,0.995,0.60859,1.35848,2.52155,2.55973,0.0009704,0.0009704,0.0009704
28,73.4105,1.13986,1.89842,1.84567,0.99421,1,0.995,0.60859,1.35848,2.52155,2.55973,0.0009308,0.0009308,0.0009308
29,76.0134,1.31243,1.98914,1.8477,0.99421,1,0.995,0.60859,1.35848,2.52155,2.55973,0.0008912,0.0008912,0.0008912
